Espécie;Sutura interocular completa;Duto individual com aspecto de sianinha;Papila FI;Espermatecas;FI - LE;4º palpo nitidamente menor que o 2º;Prolongamento posterior do ascoide;Dentes no cibário;Sensila de Newsted no 2º palpo;Duto comum curto;Papila em AXII e  AXIII;5º palpo > 3º;Clípeo / compr olhos;Fileiras de dentes da lacínia;Duto estriado;Duto individual / corpo;Dutos individuas imbricados;Junção dos dutos individuais formando Y;Comprimento do duto comum;Duto comum com pontuações ao longo da parte hialina;Junção dos dutos individuais formando ângulo menor que 180º;Cabeça das espermatecas;Dentes do cibário;Corpo da espermateca formado
Ps. complexus;Não;Não;Duas;Imbricada;;Sim;Não;4;;Sim;;;Clípeo <;Duas;Individuais;Maior;Parcialmente;Não;;;;Alongada;;
Ps. welcomei;Não;Não;Duas;Imbricada;;Sim;Não;4;;;;Não;Clípeo <;Duas;Individuais;Maior;Parcialmente;Não;;;;Alongada;;
Ps. fairtigi;Não;Não;Duas;Imbricada;;Sim;Não;4;;Sim;;Não;Clípeo <;Duas;Individuais;Maior;Parcialmente;Não;;;;Alongada;;
Nyssomyia anduzei;Não;Não;Uma;Anelada (5-15);;Sim;Não;;Não;Sim;;Não;Clípeo <;Duas;;;;;;;;;;
Ny. antunesi;Não;Não;Uma;Anelada (5-15);;Sim;Não;;Não;Não;;Não;Clípeo <;Duas;;;;;;;;;;
Ny. intermedia;Não;Não;Uma;Anelada (5-15);;Sim;Não;;Não;Sim;;Não;Clípeo <;Duas;;;;;;;;;;
Ny. shawi;Não;Não;Uma;Anelada (5-15);;Sim;Não;;Não;Sim;;Não;Clípeo <;Duas;;;;;;;;;;
Ny. umbratilis;Não;Não;Uma;Anelada (5-15);;Sim;Não;;Não;Sim;;Não;Clípeo <;Duas;;;;;;;;;;
Ny. whitmani;Não;Não;Uma;Anelada (+12);;Sim;Não;;Não;Sim;;Não;Clípeo <;Duas;;;;;;;;;;
Ny. yuilli yuilli;Não;Não;Uma;Anelada (5-15);;Sim;Não;;Não;Sim;;Não;Clípeo <;Duas;;;;;;;;;;
Ny. neivai;Não;Não;Uma;Anelada (6-11);;Sim;Não;;Não;Sim;;Não;Clípeo <;Duas;;;;;;;;;;
Trichophoromyia auraensis;Não;Não;Uma;Anelada (+25);;Sim;Não;;Sim;;;Não;Clípeo <;Duas;;;;;;;;;;
Tr. clitella;Não;Não;Uma;Anelada (+25);;Sim;Não;;Sim;;;Não;Clípeo <;Duas;;;;;;;;;;
Tr. howardi;Não;Não;Uma;Anelada (+25);;Sim;Não;;Sim;;;Não;Clípeo <;Duas;;;;;;;;;;
Tr. octavioi;Não;Não;Uma;Anelada (+25);;Sim;Não;;Sim;;;Não;Clípeo <;Duas;;;;;;;;;;
Tr. ruii;Não;Não;Uma;Anelada (+25);;Sim;Não;;Sim;Sim;;Não;Clípeo <;Duas;;;;;;;;;;
Tr. ubiquitalis;Não;Não;Uma;Anelada (+25);;Sim;Não;;Sim;;;Não;Clípeo <;Duas;;;;;;;;;;
